sample1,sample2,ground_truth_events,predicted_events
700014724,700116468,1,2
700015113,700015922,19,17
700015113,700023390,13,13
700015113,700024615,12,12
700015113,700111439,20,18
700015113,700161856,21,19
700015113,ERR912035,19,17
700015922,700023390,20,19
700015922,700024615,20,20
700015922,700111439,6,7
700015922,700161856,4,4
700015922,ERR912035,1,1
700023390,700111439,25,24
700023390,700161856,24,22
700023390,ERR912035,22,20
700023845,700165778,30,26
700023845,SRR413605,5,5
700023845,pluto3-11-0-0_,5,4
700024545,ERR912136,1,1
700024615,700111439,24,22
700024615,700161856,23,23
700024615,ERR912035,20,20
700024930,SRR341636,2,3
700024930,SRR341653,2,1
700037008,ERR912039,44,41
700037008,ERR912072,35,34
700037123,700100540,1,2
700037123,700164870,1,1
700037868,SRR413603,19,19
700038072,700165634,1,1
700100540,700164870,2,2
700105237,700171441,23,19
700106333,SRR341651,50,47
700111439,700161856,7,8
700111439,ERR912035,6,7
700112433,ERR912176,25,25
700112433,SRR413610,27,24
700112433,SRR413670,25,23
700117766,ERR912191,5,4
700117766,SRR341617,12,12
700161856,ERR912035,4,4
700161967,700165778,30,25
700161967,SRR413605,5,5
700161967,pluto3-11-0-0_,5,4
700163868,SRR341644,9,9
700163868,SRR413606,7,8
700165778,SRR413605,37,32
700165778,pluto3-11-0-0_,36,30
ERR912024,ERR912145,1,1
ERR912039,ERR912072,28,27
ERR912039,ERR912114,43,40
ERR912039,SRR413688,44,42
ERR912072,ERR912114,35,33
ERR912072,SRR413688,35,32
ERR912176,SRR413610,18,18
ERR912176,SRR413670,15,15
ERR912191,SRR341617,7,7
ERR912191,SRR341704,6,6
SRR341617,SRR341704,13,13
SRR341636,SRR341653,3,4
SRR341644,SRR413606,1,2
SRR413605,pluto3-11-0-0_,11,10
SRR413610,SRR413670,3,3
